Parameter,nState,Avg,Std,HillRange
monoMulti,1,0.08910121066292123,0.007549109411257191,1-10
monoMulti,2,0.07155567874304435,0.00297739488563009,1-10
monoMulti,3,0.033171205282474185,0.001706439906384624,1-10
monoMulti,4,0.01462009504195232,0.004300544324528249,1-10
monoMulti,5,0.016693421969229155,0.015757858015306665,1-10
monoMulti,6,0,0,1-10
monoMulti,7,0,0,1-10
nState,1,0.08910121066292123,0.007549109411257191,1-10
nState,2,0.11626711877121818,0.003506108466239247,1-10
nState,3,0.4821217954226573,0.004930956443756873,1-10
nState,4,0.7500748616368852,0.018856720759059694,1-10
nState,5,0.9021182869649723,0.022726209190510212,1-10
nState,6,0.9131489641501331,0.1504304067819555,1-10
nState,7,1,0,1-10
Phase,1,0.09768660177021707,0.010984628376638475,1-10
Phase,2,0.13234207199896272,0.005479855735082239,1-10
Phase,3,0.5117671662203407,0.006211646655812707,1-10
Phase,4,0.8045831704266209,0.015707093208099845,1-10
Phase,5,0.9566492625117013,0.013233554507552644,1-10
Phase,6,0.9277752864835161,0.1250968733726566,1-10
Phase,7,1,0,1-10
monoMulti,1,0.07237896751230939,0.002642939498652708,11-20
monoMulti,2,0.017667004775170903,0.0014565062524168964,11-20
monoMulti,3,0.0023456965568969335,4.640377102948948e-4,11-20
monoMulti,4,0,0,11-20
monoMulti,5,0,0,11-20
monoMulti,6,0,0,11-20
monoMulti,7,0,0,11-20
nState,1,0.07237896751230939,0.002642939498652708,11-20
nState,2,0.058767191816371,0.0027498627411416394,11-20
nState,3,0.16196834720150508,0.0022591859865680017,11-20
nState,4,0.32268677010852037,0.006163972578483656,11-20
nState,5,0.5447128657838538,0.057017024505920146,11-20
nState,6,0.5253474983211606,0.05041678969451913,11-20
nState,7,0.8606588371846396,0.24134597358193138,11-20
Phase,1,0.07541441029627023,0.0033525527265104993,11-20
Phase,2,0.06579005548519086,0.003360951183527012,11-20
Phase,3,0.1743261510723843,0.003745386806575082,11-20
Phase,4,0.36799852479941253,0.00497692160667197,11-20
Phase,5,0.6854203514489902,0.07018504722567875,11-20
Phase,6,0.6220715990997091,0.06383504429327884,11-20
Phase,7,0.8663096120578958,0.231558544399318,11-20
monoMulti,1,0.04625774396816424,0.002911597061902264,21-30
monoMulti,2,0.01143384635974641,5.867496512637283e-4,21-30
monoMulti,3,8.13281895381363e-4,2.685955504346392e-4,21-30
monoMulti,4,5.488971392297667e-4,9.507177332751639e-4,21-30
monoMulti,5,0,0,21-30
monoMulti,6,0,0,21-30
monoMulti,7,0,0,21-30
nState,1,0.04625774396816424,0.002911597061902264,21-30
nState,2,0.04299693266485064,0.0021374289602231976,21-30
nState,3,0.1021508530601491,0.002411819526868874,21-30
nState,4,0.21815018271938394,0.013717889875415314,21-30
nState,5,0.33104337820799573,0.10986826137599004,21-30
nState,6,0.4666786726247731,0.21234781866097935,21-30
nState,7,0.5408520829727552,0.3976337602403036,21-30
Phase,1,0.048689999854907004,0.0033646533985780933,21-30
Phase,2,0.048881281018707874,0.0013050828648771724,21-30
Phase,3,0.10987746114715177,0.002908366967623693,21-30
Phase,4,0.2517947699975296,0.011950397104544248,21-30
Phase,5,0.4667178935770913,0.11937151775936776,21-30
Phase,6,0.5650323609548225,0.22892654281385744,21-30
Phase,7,0.6556390622295665,0.3443609377704336,21-30
monoMulti,1,0.03719590417198834,0.006031174890761134,31-40
monoMulti,2,0.010054025021701933,4.263249329296697e-4,31-40
monoMulti,3,7.709279412353815e-4,2.5688522922857513e-4,31-40
monoMulti,4,5.656636719010133e-4,9.797582197285265e-4,31-40
monoMulti,5,0,0,31-40
monoMulti,6,0,0,31-40
monoMulti,7,0,0,31-40
nState,1,0.037195904171988356,0.006031174890761135,31-40
nState,2,0.03553737877260291,7.590192336589741e-4,31-40
nState,3,0.07369372380720433,0.001620982109294749,31-40
nState,4,0.15945192029754798,0.006962185885424221,31-40
nState,5,0.2884790898093473,0.010126018508141673,31-40
nState,6,0.1797931734447355,0.07251714376693999,31-40
nState,7,0.5652002382290909,0.3926657658550389,31-40
Phase,1,0.03979399487227379,0.0067161660822514235,31-40
Phase,2,0.04077040994437452,0.0015140491527687273,31-40
Phase,3,0.0794995910743511,0.0016170777499256766,31-40
Phase,4,0.1870341790649407,0.010022783222239151,31-40
Phase,5,0.4111034383597796,0.011335908519828304,31-40
Phase,6,0.23706474549869216,0.08575847698732499,31-40
Phase,7,0.6352342064076618,0.38145454518712674,31-40
monoMulti,1,0.025549799131724976,0.0028525931450692605,41-50
monoMulti,2,0.008716850483582754,8.727555210163382e-4,41-50
monoMulti,3,8.867048570162043e-4,2.131585571553216e-4,41-50
monoMulti,4,0,0,41-50
monoMulti,5,0,0,41-50
monoMulti,6,0,0,41-50
monoMulti,7,0,0,41-50
nState,1,0.02554979913172498,0.002852593145069258,41-50
nState,2,0.02968257361078202,0.0015406045174022587,41-50
nState,3,0.060958749339244035,0.0054860306500832436,41-50
nState,4,0.12356222152659187,0.0068924398237970134,41-50
nState,5,0.20748092402947346,0.05343799241020475,41-50
nState,6,0.2514525605545605,0.15147891427923274,41-50
nState,7,0.43974032739392543,0.11994186258468943,41-50
Phase,1,0.026172995328682756,0.0027982922351613942,41-50
Phase,2,0.034862261383173464,0.0020515712687837074,41-50
Phase,3,0.06563589864091138,0.005369084977908577,41-50
Phase,4,0.14409466194701187,0.008521493835922076,41-50
Phase,5,0.2885875160215494,0.098392677720295793,41-50
Phase,6,0.3417014668071641,0.19952756911911498,41-50
Phase,7,0.5445279511184553,0.20207551371296398,41-50
